01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D81;Vwz_D81;Bel_TBS32;Vwz_TBS32;Bel_TBS35;Vwz_TBS35;Bel_TBS38;Vwz_TBS38;Bel_TBS41;Vwz_TBS41;Bel_TF32;Vwz_TF32;Bel_TF35;Vwz_TF35;Bel_TF38;Vwz_TF38;Bel_TF41;Vwz_TF41;Bel_V111;Vwz_V111;Bel_V112;Vwz_V112;Bel_V23;Vwz_V23;Bel_V24;Vwz_V24;Bel_V51;Vwz_V51;Bel_V82;Vwz_V82;Bel_VK1_Stoer;Vwz_VK1_Stoer;Bel_VK2_Stoer;Vwz_VK2_Stoer;Bel_VK3_Stoer;Vwz_VK3_Stoer;Bel_VK4_Stoer;Vwz_VK4_Stoer
04.06.2020 17:00;109;1612200;134;2314800;88;991800;4;18000;0;0;0;0;2;3600;7;6000;19;18600;5;3600;17;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 18:00;77;1579800;135;2213400;61;511200;4;3000;3;1800;2;1800;1;600;5;3600;19;13800;3;2400;13;10200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 19:00;58;1559400;66;1221000;61;471600;1;600;2;2400;0;0;6;7200;2;1200;16;13200;2;1800;17;16200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 20:00;45;774600;60;924600;42;253800;1;600;2;1200;1;600;3;1800;1;600;3;3000;0;0;9;9000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 21:00;28;202200;30;289200;26;190800;1;600;1;600;0;0;2;1800;1;600;4;3000;0;0;5;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 22:00;19;172200;22;231600;24;178800;0;0;0;0;1;600;0;0;0;0;4;4200;1;600;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 23:00;7;102000;13;127800;9;56400;0;0;0;0;0;0;1;1200;0;0;2;1200;0;0;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 00:00;4;46200;9;99600;3;17400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 01:00;2;29400;6;74400;3;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 02:00;1;15000;3;41400;3;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 04:00;1;14400;3;42000;4;16200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 05:00;8;91200;10;93000;9;102000;0;0;0;0;0;0;0;0;1;1800;3;2400;0;0;4;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 06:00;29;724200;35;742800;24;335400;0;0;0;0;0;0;0;0;3;2400;7;4800;0;0;3;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 07:00;59;1100400;62;1281000;56;840000;1;600;2;2400;1;600;1;600;3;1800;7;5400;0;0;18;15600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 08:00;76;1465800;67;1351800;53;770400;2;1800;0;0;0;0;0;0;4;3000;26;23400;2;1200;4;4800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
